series,start,end,n_steps,D2,pct_intens_final
20180733,189,256,67,0.006803613014011903,0.0
20205386,51,61,10,0.17142377993517544,0.7272727272727273
20190639,74,92,18,0.2108246059408277,0.7368421052631579
20180263,46,56,10,0.21773612648092575,0.0
20180628,60,72,12,0.2190976915988757,0.6923076923076923
20170342,102,145,43,0.24067282044789085,0.0
20205386,70,82,12,0.2770782880578637,0.6923076923076923
20160735,0,9,9,0.2782858579456879,0.9
20170342,130,145,15,0.2828996525579772,0.0
20180170,21,39,18,0.31467403362668217,0.7368421052631579
20170760,14,29,15,0.3403136560027342,0.9375
20191014,123,137,14,0.39586728002210353,0.8666666666666667
20150656,85,143,58,0.39714836176682616,0.9152542372881356
20203947,0,61,61,0.4016442071125674,0.7903225806451613
20203947,74,90,16,0.40570014267040816,0.8823529411764706
s9ddbc53c,42,65,23,0.47946705061092154,0.0
s5dcc0f79,42,65,23,0.48740615870501136,0.0
scfcf1387,52,65,13,0.4911792321586436,0.0
s5b8aa46f,47,65,18,0.4986958401024204,0.0
20190325,87,103,16,0.5112108820064785,0.7058823529411765
20160735,210,228,18,0.5133126405156176,0.0
20170794,118,163,45,0.5796633429805146,0.0
20180733,100,140,40,0.5873371491268579,0.8292682926829268
20160735,21,59,38,0.5962568440671703,0.9487179487179487
20203947,159,185,26,0.6157478961938492,0.7777777777777778
20160587,24,56,32,0.6978657422695379,0.7878787878787878
20207822,23,51,28,0.7250724287997679,0.7931034482758621
20190870,0,41,41,0.7948335861356578,0.5952380952380952
20203947,106,132,26,0.7992596070560731,0.8148148148148148
20160735,121,159,38,0.8032581196388371,0.717948717948718
20190639,0,92,92,0.8215206660998103,0.8064516129032258
20205386,0,41,41,0.86872636470672,0.7619047619047619
20180608,37,66,29,0.918182341351675,0.8
20170794,0,42,42,0.9299040644732361,0.8604651162790697
20180733,0,37,37,0.9302913258402268,0.8157894736842105
20191104,0,35,35,0.9432938796108382,0.75
sbd6c6920,32,48,16,0.9455637647460682,0.7058823529411765
s5b8aa46f,11,27,16,0.9542904525984265,0.7058823529411765
20207822,0,51,51,0.962900136912994,0.8846153846153846
s6b542eee,0,16,16,0.9720752396140874,0.5882352941176471
s9ddbc53c,0,21,21,0.994626195831944,0.6363636363636364
20170409,0,64,64,0.9947683051194612,0.8307692307692308
s5dcc0f79,0,21,21,0.9991209597983707,0.5909090909090909
sbd6c6920,0,17,17,1.0,0.5555555555555556
s6b1e8245,18,40,22,1.0,0.6956521739130435
s0596ea57,4,65,61,1.0,0.9032258064516129
s4e7ff65c,1,27,26,1.0,0.5925925925925926
s8001f17b,12,32,20,1.0,0.6190476190476191
s6b542eee,32,48,16,1.0,0.6470588235294118
sbceec644,0,27,27,1.0,0.6428571428571429
s46657891,0,32,32,1.0,0.696969696969697
20150069,0,37,37,1.0,0.7631578947368421
20201245,0,46,46,1.0,0.7872340425531915
20150436,0,66,66,1.0,0.5671641791044776
20150528,0,33,33,1.0,0.8235294117647058
20150532,0,40,40,1.0,0.8048780487804879
20150656,0,42,42,1.0,0.7906976744186046
20160587,0,56,56,1.0,0.8771929824561403
20170154,0,41,41,1.0,0.6904761904761905
20170342,0,46,46,1.0,0.8297872340425532
20170520,0,31,31,1.0,0.8125
20170760,0,29,29,1.0,0.9666666666666667
20202023,0,60,60,1.0,0.8852459016393442
20171179,0,45,45,1.0,0.782608695652174
20180300,0,20,20,1.0,0.6666666666666666
20180608,10,66,56,1.0,0.42105263157894735
20180628,0,37,37,1.0,0.7631578947368421
20180759,0,34,34,1.0,0.6857142857142857
20181046,0,26,26,1.0,0.7037037037037037
scfcf1387,16,33,17,1.0,0.7222222222222222
20190639,25,92,67,1.0,0.9264705882352942
20190879,0,34,34,1.0,0.8
20191155,0,40,40,1.0,0.7073170731707317
20180263,0,30,30,1.0,0.8064516129032258
20190397,0,38,38,1.0,0.6666666666666666
