track_id,periods_idx0_final,leading_incipient_len_final,first_non_incipient_phase_final
20150069,intensification,0,intensification
20150377,incipient,35,intensification
20150436,incipient,20,intensification
20150528,intensification,0,intensification
20150532,intensification,0,intensification
20150561,intensification,0,intensification
20150646,incipient,2,intensification
20150656,intensification,0,intensification
20150746,intensification,0,intensification
20160030,intensification,0,intensification
20160587,intensification,0,intensification
20160735,intensification,0,intensification
20170154,incipient,6,intensification
20170225,incipient,8,intensification
20170342,intensification,0,intensification
20170409,incipient,6,intensification
20170520,intensification,0,intensification
20170587,intensification,0,intensification
20170756,incipient,26,decay
20170760,intensification,0,intensification
20170794,intensification,0,intensification
20170899,intensification,0,intensification
20171179,intensification,0,intensification
20180129,intensification,0,intensification
20180170,incipient,8,decay
20180263,intensification,0,intensification
20180300,intensification,0,intensification
20180608,incipient,38,intensification
20180628,intensification,0,intensification
20180654,intensification,0,intensification
20180733,intensification,0,intensification
20180759,incipient,4,intensification
20181046,intensification,0,intensification
20190325,incipient,9,decay
20190397,incipient,2,intensification
20190639,incipient,13,intensification
20190691,intensification,0,intensification
20190870,incipient,10,intensification
20190879,intensification,0,intensification
20191014,incipient,9,decay
20191104,intensification,0,intensification
20191155,incipient,1,intensification
20201245,intensification,0,intensification
20202023,intensification,0,intensification
20203373,incipient,10,intensification
20203389,intensification,0,intensification
20203947,incipient,12,intensification
20204655,incipient,8,intensification
20205386,incipient,4,intensification
20206498,incipient,9,decay
20207822,intensification,0,intensification
