series,valley_idx,z_valley,z_min,z_max,D1,D2,prominence_relative,prominence_abs,drop_left,drop_right,drop_asymmetry,amp_prev_peak,amp_next_peak,window_start,window_end,block_start,block_end,block_len,label_overlap,classification,n_blocks_in_series,n_labelled_matures
20170794,42,-5.31036064901433e-05,-5.31036064901433e-05,-9.298774295507433e-07,1.0,1.0,1.0,4.851656271217041e-05,4.851656271217041e-05,5.2173729060592554e-05,-3.6571663484221407e-06,4.851656271217041e-05,5.077455272132408e-05,37,48,37,48,12,12,TRUE,2,1
20170794,163,-3.257225197184193e-05,-5.31036064901433e-05,-9.298774295507433e-07,0.6064809840512445,0.6133717486379715,0.6233582206234115,3.0243198203022705e-05,3.0243198203022705e-05,3.1642374542291183e-05,-1.3991763392684789e-06,3.0243198203022705e-05,3.1642374542291183e-05,159,167,159,167,9,0,SPURIOUS,2,1
20171179,45,-6.0497374966877826e-05,-6.0497374966877826e-05,-2.320885406603132e-05,1.0,1.0,1.0,3.812886161656279e-06,3.7288520900846504e-05,3.812886161656279e-06,3.3475634739190225e-05,3.7288520900846504e-05,3.812886161656279e-06,36,48,36,48,13,0,SPURIOUS,1,0
20180170,39,-3.5411397765675713e-05,-3.5411397765675713e-05,-1.841483936279505e-05,1.0,1.0,1.0,7.294551401224602e-06,7.294551401224602e-06,1.6996558402880665e-05,-9.702007001656063e-06,5.348375590405938e-06,1.6996558402880665e-05,36,48,36,48,13,7,TRUE,1,1
20180263,30,-5.226084551192054e-05,-5.226084551192054e-05,-1.7461517732691152e-05,1.0,1.0,1.0,8.376191527597007e-06,3.479932777922939e-05,8.376191527597007e-06,2.642313625163238e-05,3.479932777922939e-05,8.376191527597007e-06,25,33,25,33,9,9,TRUE,1,1
20180300,20,-7.993458808632708e-05,-7.993458808632708e-05,-3.743894262059499e-05,1.0,1.0,1.0,3.257105177056318e-05,4.249564546573209e-05,3.257105177056318e-05,9.924593695168909e-06,4.249564546573209e-05,3.257105177056318e-05,14,26,14,26,13,12,TRUE,1,1
20180608,66,-7.556120511620372e-05,-7.556120511620372e-05,-3.0052685675146987e-05,1.0,1.0,1.0,4.092571737896957e-05,4.550851944105673e-05,4.092571737896957e-05,4.582802062087161e-06,4.1785118931837686e-05,2.9351745413115907e-05,62,70,62,70,9,9,TRUE,1,1
20180628,37,-8.14368507661182e-05,-8.14368507661182e-05,-1.821614097460102e-05,1.0,1.0,1.0,4.106156274559657e-05,6.322070979151718e-05,4.106156274559657e-05,2.2159147045920615e-05,6.322070979151718e-05,1.3979094244312207e-05,29,40,29,40,12,11,TRUE,2,1
20180628,72,-8.130926809836984e-05,-8.14368507661182e-05,-1.821614097460102e-05,0.9979819481912006,0.9984333545987091,0.33733522667861165,1.3851511576563853e-05,1.3851511576563853e-05,4.093398007784821e-05,-2.708246850128436e-05,1.3851511576563853e-05,4.093398007784821e-05,70,75,70,75,6,0,SPURIOUS,2,1
20180733,37,-3.557900435094242e-05,-3.906137921016059e-05,1.0894740328657845e-05,0.9302913258402268,0.9108486456537526,0.7431865530294189,2.5858709972151973e-05,4.6473744679600265e-05,2.5858709972151973e-05,2.0615034707448292e-05,4.6473744679600265e-05,2.5858709972151973e-05,31,43,31,43,13,0,SPURIOUS,2,1
20180733,140,-3.906137921016059e-05,-3.906137921016059e-05,1.0894740328657845e-05,1.0,1.0,1.0,3.479437278129595e-05,4.995611953881844e-05,3.479437278129595e-05,1.516174675752249e-05,2.934108483137014e-05,3.479437278129595e-05,135,146,135,146,12,12,TRUE,2,1
20180759,34,-4.842072194511075e-05,-4.842072194511075e-05,-2.317532770307371e-05,1.0,1.0,1.0,1.9972619180868003e-05,2.524539424203704e-05,1.9972619180868003e-05,5.272775061169036e-06,2.524539424203704e-05,1.1609580680367509e-05,28,47,28,47,20,15,TRUE,1,1
20181046,26,-4.220533076631099e-05,-4.220533076631099e-05,-1.9459980791826615e-05,1.0,1.0,1.0,2.3527994469242083e-07,2.2745349974484373e-05,2.3527994469242083e-07,2.2510070029791952e-05,2.2745349974484373e-05,2.3527994469242083e-07,19,26,19,26,8,0,SPURIOUS,1,0
20190325,103,-3.568130317746046e-05,-3.568130317746046e-05,-2.0033087865579976e-06,1.0,1.0,1.0,1.5387314932542803e-05,3.367799439090246e-05,1.5387314932542803e-05,1.829067945835966e-05,1.7216557216782483e-05,1.5387314932542803e-05,100,105,100,105,6,6,TRUE,1,1
20190397,38,-6.445059015320268e-05,-6.445059015320268e-05,-2.0500838872275362e-05,1.0,1.0,1.0,1.5135798262602304e-05,4.3949751280927316e-05,1.5135798262602304e-05,2.8813953018325013e-05,4.3949751280927316e-05,1.5135798262602304e-05,28,42,28,42,15,8,TRUE,1,1
20190639,92,-5.593404723649799e-05,-5.593404723649799e-05,6.896962176958304e-07,1.0,1.0,1.0,4.856650207153179e-05,5.662374345419382e-05,4.856650207153179e-05,8.057241382662028e-06,1.1937678400624933e-05,4.856650207153179e-05,88,104,88,104,17,17,TRUE,1,1
20190870,41,-6.640809508271543e-05,-6.640809508271543e-05,-5.398571827127243e-06,1.0,1.0,1.0,4.8492418157665974e-05,4.8492418157665974e-05,6.100952325558819e-05,-1.2517105097922216e-05,4.8492418157665974e-05,6.100952325558819e-05,35,50,35,50,16,14,TRUE,1,1
20190879,34,-6.158542967673098e-05,-6.158542967673098e-05,-2.429035053942937e-05,1.0,1.0,1.0,2.473419215344002e-05,3.729507913730161e-05,2.473419215344002e-05,1.2560886983861591e-05,3.729507913730161e-05,2.473419215344002e-05,28,38,28,38,11,9,TRUE,1,1
20191014,137,-3.11553567922699e-05,-4.908321206781582e-05,1.0119895211188455e-06,0.6421243011924332,0.6347456794234269,0.41781565558349604,1.9831051195170526e-05,1.9831051195170526e-05,3.2167346313388745e-05,-1.2336295118218219e-05,1.9831051195170526e-05,3.2167346313388745e-05,134,140,134,140,7,0,SPURIOUS,1,1
20191104,35,-6.165960899186436e-05,-6.165960899186436e-05,-1.162001436610767e-05,1.0,1.0,1.0,4.720204334868368e-05,4.720204334868368e-05,5.003959462575669e-05,-2.837551277073009e-06,4.720204334868368e-05,2.9421328801696734e-05,27,41,27,41,15,15,TRUE,1,1
20191155,40,-6.614893525592353e-05,-6.614893525592353e-05,-1.1831370311252175e-05,1.0,1.0,1.0,4.011980652468112e-05,5.4317564944671355e-05,4.011980652468112e-05,1.4197758419990235e-05,5.4317564944671355e-05,4.011980652468112e-05,30,48,30,48,19,14,TRUE,1,1
20201245,46,-5.28509836199395e-05,-5.28509836199395e-05,-9.543019728627052e-06,1.0,1.0,1.0,4.257208581584789e-05,4.3307963891312447e-05,4.257208581584789e-05,7.35878075464558e-07,4.3307963891312447e-05,4.257208581584789e-05,37,53,37,53,17,12,TRUE,1,1
20202023,60,-6.947687138329024e-05,-6.947687138329024e-05,-1.8788068989918125e-05,1.0,1.0,1.0,2.578517013752058e-05,5.0688802393372116e-05,2.578517013752058e-05,2.4903632255851537e-05,5.0688802393372116e-05,2.578517013752058e-05,54,64,54,64,11,9,TRUE,1,1
20203947,61,-1.6765715985318363e-05,-3.608999029080553e-05,-3.7943652877689166e-06,0.4016442071125674,0.46455307552658676,0.35970157538630326,1.0378375003701833e-05,1.2971350697549446e-05,1.0378375003701833e-05,2.5929756938476134e-06,1.2971350697549446e-05,1.0378375003701833e-05,58,63,58,63,6,0,SPURIOUS,4,2
20203947,90,-1.9489680652978484e-05,-3.608999029080553e-05,-3.7943652877689166e-06,0.4859889029468793,0.5400300885629159,0.31928613451195015,9.212278911730289e-06,1.5695315365209568e-05,9.212278911730289e-06,6.483036453479279e-06,1.3102339671361954e-05,9.212278911730289e-06,87,93,87,93,7,0,SPURIOUS,4,2
20203947,132,-3.608999029080553e-05,-3.608999029080553e-05,-3.7943652877689166e-06,1.0,1.0,1.0,2.8852737140658688e-05,3.229562500303661e-05,2.8852737140658688e-05,3.442887862377923e-06,2.5812588549557332e-05,2.1751938543014274e-05,129,136,129,136,8,8,TRUE,4,2
20203947,185,-3.422401489967652e-05,-3.608999029080553e-05,-3.7943652877689166e-06,0.9422220380948331,0.9482965948149786,0.689222760909653,1.9885963151885267e-05,1.9885963151885267e-05,2.698676174952968e-05,-7.100798597644414e-06,1.9885963151885267e-05,2.698676174952968e-05,181,188,181,188,8,8,TRUE,4,2
20205386,41,-4.5087146962753474e-05,-4.900495191539121e-05,-1.9160383781927664e-05,0.86872636470672,0.9200528763011141,0.31146477641037845,4.76515589366906e-06,2.592676318082581e-05,4.76515589366906e-06,2.116160728715675e-05,2.592676318082581e-05,4.76515589366906e-06,36,42,36,42,7,0,SPURIOUS,3,1
20205386,61,-4.543805974905562e-05,-4.900495191539121e-05,-1.9160383781927664e-05,0.8804843765745038,0.9272136380728634,0.30736218980658475,4.702389679910759e-06,2.6277675967127954e-05,4.702389679910759e-06,2.1575286287217195e-05,5.116068679971205e-06,4.702389679910759e-06,60,63,60,63,4,4,TRUE,3,1
20205386,82,-4.900495191539121e-05,-4.900495191539121e-05,-1.9160383781927664e-05,1.0,1.0,1.0,1.5299180692556407e-05,2.9844568133463547e-05,1.5299180692556407e-05,1.454538744090714e-05,8.269281846246352e-06,1.5299180692556407e-05,80,85,80,85,6,0,SPURIOUS,3,1
20207822,51,-5.330567367184199e-05,-5.330567367184199e-05,-3.829475704163257e-06,1.0,1.0,1.0,4.764063779701225e-05,4.764063779701225e-05,4.9476197967678734e-05,-1.8355601706664836e-06,3.587382702820296e-05,4.2936830652143935e-05,46,68,46,68,23,23,TRUE,1,1
