series,valley_idx,z_valley,z_min,z_max,D1,D2,prominence_relative,prominence_abs,drop_left,drop_right,drop_asymmetry,amp_prev_peak,amp_next_peak,window_start,window_end,block_start,block_end,block_len,label_overlap,classification,n_blocks_in_series,n_labelled_matures
20150069,37,-7.470225698004972e-05,-7.470225698004972e-05,-1.9319273017575218e-05,1.0,1.0,1.0,3.747294722974548e-05,5.538298396247451e-05,3.747294722974548e-05,1.7910036732729024e-05,5.538298396247451e-05,3.747294722974548e-05,29,44,29,44,16,16,TRUE,1,1
20150436,66,-7.085050160366712e-05,-7.085050160366712e-05,-1.234494890162485e-05,1.0,1.0,1.0,3.5856539070542406e-05,5.8505552702042265e-05,3.5856539070542406e-05,2.264901363149986e-05,5.8505552702042265e-05,3.5856539070542406e-05,58,73,58,73,16,14,TRUE,1,1
20150528,33,-6.629155724262972e-05,-6.629155724262972e-05,-2.887624010392056e-05,1.0,1.0,1.0,2.5332423113839783e-05,3.7415317138709154e-05,2.5332423113839783e-05,1.2082894024869371e-05,3.7415317138709154e-05,2.5332423113839783e-05,28,36,28,36,9,8,TRUE,1,1
20150532,40,-5.423327672421585e-05,-5.423327672421585e-05,-1.4714219873077961e-05,1.0,1.0,1.0,3.8429100455095205e-05,3.951905685113789e-05,3.8429100455095205e-05,1.0899563960426866e-06,3.951905685113789e-05,1.1052787371379822e-05,33,42,33,42,10,7,TRUE,1,1
20150656,42,-5.1712235505240406e-05,-5.1712235505240406e-05,-1.232819461123922e-06,1.0,1.0,1.0,2.83738156609171e-05,5.0479416044116485e-05,2.83738156609171e-05,2.2105600383199386e-05,5.0479416044116485e-05,2.83738156609171e-05,34,48,34,48,15,15,TRUE,2,1
20150656,143,-4.338623722919021e-05,-5.1712235505240406e-05,-1.232819461123922e-06,0.8350615175743379,0.8389936502511779,0.6303964605264969,1.7886752964273425e-05,2.0047817384866904e-05,1.7886752964273425e-05,2.1610644205934783e-06,2.0047817384866904e-05,1.7886752964273425e-05,140,147,140,147,8,0,SPURIOUS,2,1
20160587,56,-6.644460628586817e-05,-6.644460628586817e-05,-2.1421020609951937e-05,1.0,1.0,1.0,1.3551071971150366e-05,4.502358567591623e-05,1.3551071971150366e-05,3.1472513704765866e-05,3.1420418037359416e-05,1.3551071971150366e-05,50,65,50,65,16,13,TRUE,1,1
20160735,9,-1.2818079543917018e-05,-3.9261993495043865e-05,3.616777439726206e-06,0.3832865687462213,0.3264755149413153,0.30372832620392975,1.165602084939214e-05,1.1932555557239114e-05,1.165602084939214e-05,2.7653470784697326e-07,1.1932555557239114e-05,1.165602084939214e-05,7,11,7,11,5,0,SPURIOUS,4,1
20160735,59,-2.672881932956999e-05,-3.9261993495043865e-05,3.616777439726206e-06,0.7077067767511308,0.6807810034644326,0.570910952171818,2.1909546748013952e-05,2.5843295342892086e-05,2.1909546748013952e-05,3.933748594878134e-06,2.556676063504511e-05,2.1909546748013952e-05,53,64,53,64,12,0,SPURIOUS,4,1
20160735,159,-3.9261993495043865e-05,-3.9261993495043865e-05,3.616777439726206e-06,1.0,1.0,1.0,3.837646950836596e-05,3.837646950836596e-05,4.287877093477007e-05,-4.502301426404106e-06,3.444272091348783e-05,4.287877093477007e-05,150,181,150,181,32,28,TRUE,4,1
20160735,228,-1.8393437690864934e-05,-3.9261993495043865e-05,3.616777439726206e-06,0.5133126405156176,0.4684794645790663,0.49015099757169095,1.8810264812805156e-05,2.201021513059114e-05,1.8810264812805156e-05,3.1999503177859855e-06,2.201021513059114e-05,1.8810264812805156e-05,224,235,224,235,12,0,SPURIOUS,4,1
20170154,41,-5.453202796993579e-05,-5.453202796993579e-05,-1.0692511910262874e-05,1.0,1.0,1.0,2.3221868923718988e-05,4.383951605967291e-05,2.3221868923718988e-05,2.0617647135953924e-05,4.383951605967291e-05,5.200914615988493e-06,35,43,35,43,9,9,TRUE,1,1
20170342,46,-4.1733608311773575e-05,-4.1733608311773575e-05,-5.707148874403268e-06,1.0,1.0,1.0,3.179496724165206e-05,3.6026459437370307e-05,3.179496724165206e-05,4.231492195718245e-06,3.6026459437370307e-05,3.0273683987469392e-05,39,67,39,67,29,29,TRUE,1,1
20170409,64,-5.320908580384265e-05,-5.320908580384265e-05,-1.5256787071082387e-06,1.0,1.0,1.0,5.141301528041762e-05,5.141301528041762e-05,5.168340709673441e-05,-2.703918163167869e-07,5.141301528041762e-05,1.5122529850524928e-05,60,66,60,66,7,7,TRUE,1,1
20170520,31,-8.240054366503757e-05,-8.240054366503757e-05,-3.1410362686511635e-05,1.0,1.0,1.0,2.9739417200747745e-05,5.099018097852594e-05,2.9739417200747745e-05,2.1250763777778194e-05,5.099018097852594e-05,2.9739417200747745e-05,26,35,26,35,10,9,TRUE,1,1
