==============================================================================
TRAIN · real   (35 labels)
==============================================================================
      constant  n_bdry  hit  hit rate     MAE  worst   none agreed
            40      10    0      0.0%   35.50     38   0/2

  BEST constant: 4  ->  8/10 within each label's own margin (80.0%), MAE 1.90, worst 10

==============================================================================
TRAIN · all   (47 labels)
==============================================================================
      constant  n_bdry  hit  hit rate     MAE  worst   none agreed
  no incipient      27    0      0.0% —   None   18/18
             0      27    0      0.0%   11.00     38   0/18
             1      27    1      3.7%   10.00     37   0/18
             2      27    6     22.2%    9.00     36   0/18
             3      27    8     29.6%    8.07     35   0/18
             4      27   12     44.4%    7.52     34   0/18
             5      27    7     25.9%    7.11     33   0/18
             6      27    5     18.5%    6.93     32   0/18
             7      27    3     11.1%    6.89     31   0/18
             8      27    5     18.5%    6.85     30   0/18
             9      27    4     14.8%    6.89     29   0/18
            10      27    6     22.2%    7.07     28   0/18
            11      27    5     18.5%    7.33     27   0/18
            12      27    5     18.5%    7.74     26   0/18
            13      27    3     11.1%    8.22     25   0/18
            14      27    4     14.8%    8.70     24   0/18
            15      27    3     11.1%    9.26     23   0/18
            16      27    3     11.1%    9.81     22   0/18
            17      27    3     11.1%   10.44     21   0/18
            18      27    2      7.4%   11.07     20   0/18
            19      27    2      7.4%   11.70     19   0/18
            20      27    3     11.1%   12.41     18   0/18
            21      27    2      7.4%   13.11     19   0/18
            22      27    2      7.4%   13.81     20   0/18
            23      27    2      7.4%   14.52     21   0/18
            24      27    2      7.4%   15.22     22   0/18
            25      27    2      7.4%   15.93     23   0/18
            26      27    2      7.4%   16.70     24   0/18
            27      27    2      7.4%   17.56     25   0/18
            28      27    1      3.7%   18.41     26   0/18
            29      27    1      3.7%   19.26     27   0/18
            30      27    1      3.7%   20.11     28   0/18
            31      27    0      0.0%   20.96     29   0/18
            32      27    0      0.0%   21.81     30   0/18
            33      27    1      3.7%   22.67     31   0/18
            34      27    1      3.7%   23.52     32   0/18
            35      27    1      3.7%   24.37     33   0/18
            36      27    2      7.4%   25.22     34   0/18
            37      27    2      7.4%   26.07     35   0/18
            38      27    2      7.4%   27.00     36   0/18
            39      27    1      3.7%   28.00     37   0/18
            40      27    1      3.7%   29.00     38   0/18

  BEST constant: 4  ->  12/27 within each label's own margin (44.4%), MAE 7.52, worst 34

==============================================================================
the detector under params-13, on the SAME ruler, for comparison
==============================================================================
  TRAIN·real         8/17  (47.1%), MAE 4.82, worst 26
  TRAIN·synthetic    9/10  (90.0%), MAE 1.00, worst 4
  TRAIN·all         17/27  (63.0%), MAE 3.00, worst 26

wrote /Users/danilocoutodesouza/Documents/Programs_and_scripts/CycloPhaser/research/labels/diagnostics/frontD/constant_baseline.json
