id,fonte,caso,split,alvo_A,n_steps,replay_ok,idx0_tipo_bruto,idx0_tipo_final,prom_idx0_conv_peak,prom_idx0_conv_valley,z0,E1_idx,E1_tipo,z_E1,z_E1_menos_z0,sinal_z1_menos_z0,C2_dispara,C2_ramo,seq_fases_params13
20160735,real,,treino,False,259,True,peak,peak,0.0,0.0,-8.855239866779032e-07,9,valley,-1.2818079543917018e-05,-1.1932555557239114e-05,-1.6277156231611592e-06,False,alternating types,intensification>decay>intensification>decay>intensification>mature>decay>residual
20170154,real,,treino,False,124,True,peak,peak,0.0,0.0,-1.0692511910262874e-05,41,valley,-5.453202796993579e-05,-4.383951605967291e-05,-2.3013145308991868e-07,False,alternating types,incipient>intensification>mature>decay
20170225,real,,teste,False,31,True,peak,peak,0.0,0.0,-1.8637698048010574e-05,23,valley,-2.6388162339731686e-05,-7.750464291721113e-06,-2.7565954606035466e-07,False,alternating types,incipient>intensification>mature>decay
20170342,real,,treino,False,146,True,peak,peak,0.0,0.0,-5.707148874403268e-06,46,valley,-4.1733608311773575e-05,-3.6026459437370307e-05,-1.1978387828707194e-06,False,alternating types,intensification>mature>decay>residual
20170409,real,,treino,False,169,True,peak,peak,0.0,0.0,-1.7960705234250233e-06,64,valley,-5.320908580384265e-05,-5.141301528041762e-05,-2.528260550157151e-08,False,alternating types,incipient>intensification>mature>decay
20170520,real,,treino,False,58,True,peak,peak,0.0,0.0,-3.1410362686511635e-05,31,valley,-8.240054366503757e-05,-5.099018097852594e-05,-1.0739838445113272e-06,False,alternating types,intensification>mature>decay
20170587,real,,teste,False,68,True,peak,peak,0.0,0.0,-1.531290242908787e-05,46,valley,-5.6019542856932285e-05,-4.0706640427844416e-05,-1.823719166773238e-06,False,alternating types,intensification>mature>decay
20170756,real,,teste,False,65,True,peak,peak,0.0,0.0,-4.5049178671739406e-05,12,valley,-5.010001765587949e-05,-5.050838984140083e-06,-2.216265315914699e-07,False,alternating types,incipient>decay
20170760,real,,treino,False,59,True,peak,peak,0.0,0.0,-3.358426351139535e-05,14,peak,-4.423657892469966e-05,-1.0652315413304306e-05,-1.1688840871022728e-06,False,"peak/peak, E1 not strictly higher",intensification>decay
20170794,real,,treino,False,224,True,peak,peak,0.0,0.0,-4.587043777972889e-06,42,valley,-5.31036064901433e-05,-4.851656271217041e-05,-1.2794018782850183e-07,False,alternating types,intensification>mature>decay>residual
20170899,real,,teste,False,52,True,peak,peak,0.0,0.0,-1.9975426566752147e-05,38,valley,-4.901600398037634e-05,-2.904057741362419e-05,-9.22324789518372e-07,False,alternating types,intensification>mature>decay
20171179,real,,treino,False,62,True,peak,peak,0.0,0.0,-2.320885406603132e-05,45,valley,-6.0497374966877826e-05,-3.7288520900846504e-05,-4.161746606697171e-07,False,alternating types,intensification>mature>decay
20180129,real,,teste,False,60,True,peak,peak,0.0,0.0,-1.1157770973843237e-05,32,valley,-6.313859707238855e-05,-5.198082609854531e-05,-9.545921936730592e-07,False,alternating types,intensification>mature>decay
20180170,real,,treino,True,69,True,valley,valley,0.0,0.0,-2.8123364419640824e-05,21,peak,-3.0063022175269775e-05,-1.939657755628951e-06,2.8957110844837135e-09,False,alternating types,incipient>decay>intensification>mature>decay
20180263,real,,treino,False,57,True,peak,peak,0.0,0.0,-1.7461517732691152e-05,30,valley,-5.226084551192054e-05,-3.479932777922939e-05,-9.17699466718993e-07,False,alternating types,intensification>mature>decay>residual
20180300,real,,treino,False,59,True,peak,peak,0.0,0.0,-3.743894262059499e-05,20,valley,-7.993458808632708e-05,-4.249564546573209e-05,-2.3713326137467884e-06,False,alternating types,intensification>mature>decay
20180608,real,,treino,True,117,True,valley,valley,0.0,0.0,-3.284535915283142e-05,10,peak,-3.0052685675146987e-05,2.792673477684431e-06,2.8769678446762063e-07,False,alternating types,incipient>intensification>mature>decay
20180628,real,,treino,False,94,True,peak,peak,0.0,0.0,-1.821614097460102e-05,37,valley,-8.14368507661182e-05,-6.322070979151718e-05,-7.444173213708146e-07,False,alternating types,intensification>mature>decay>intensification>mature>decay
20180654,real,,teste,False,149,True,peak,peak,0.0,0.0,-9.745022576532853e-06,39,peak,-1.9884355956586395e-05,-1.0139333380053543e-05,-7.777920289333624e-07,False,"peak/peak, E1 not strictly higher",intensification>mature>decay
20180733,real,,treino,False,257,True,peak,peak,0.0,0.0,1.0894740328657845e-05,37,valley,-3.557900435094242e-05,-4.6473744679600265e-05,-9.372612015748513e-07,False,alternating types,intensification>mature>decay>intensification>mature>decay
20180759,real,,treino,False,88,True,peak,peak,0.0,0.0,-2.317532770307371e-05,34,valley,-4.842072194511075e-05,-2.524539424203704e-05,-1.063380231859175e-07,False,alternating types,incipient>intensification>mature>decay
20181046,real,,treino,False,30,True,peak,peak,0.0,0.0,-1.9459980791826615e-05,26,valley,-4.220533076631099e-05,-2.2745349974484373e-05,-6.92755359898917e-07,False,alternating types,intensification>mature>decay
20190325,real,,treino,True,167,True,valley,valley,0.0,0.0,-2.8515815878728333e-06,64,valley,-2.6758125049309985e-05,-2.3906543461437153e-05,2.6608957218443905e-07,True,valley->peak,incipient>decay>intensification>mature>decay
20190397,real,,treino,False,56,True,peak,peak,0.0,0.0,-2.0500838872275362e-05,38,valley,-6.445059015320268e-05,-4.3949751280927316e-05,-2.6793615830133334e-07,False,alternating types,incipient>intensification>mature>decay
20190639,real,,treino,False,180,True,peak,peak,0.0,0.0,-9.416471796943904e-06,25,peak,6.896962176958304e-07,1.0106168014639735e-05,-7.084140163218097e-07,True,peak->valley,incipient>intensification>mature>decay
20190691,real,,teste,False,123,True,peak,peak,0.0,0.0,-1.307474631581349e-05,46,valley,-3.401238232803418e-05,-2.0937636012220693e-05,-9.538941601099248e-07,False,alternating types,intensification>mature>decay>intensification>mature>decay
20190870,real,,treino,False,129,True,peak,peak,0.0,0.0,-1.791567692504946e-05,41,valley,-6.640809508271543e-05,-4.8492418157665974e-05,-1.2488075748394448e-07,False,alternating types,incipient>intensification>mature>decay
20190879,real,,treino,False,79,True,peak,peak,0.0,0.0,-2.429035053942937e-05,34,valley,-6.158542967673098e-05,-3.729507913730161e-05,-1.3896799950771257e-06,False,alternating types,intensification>mature>decay
20191014,real,,treino,True,206,True,valley,valley,0.0,0.0,-1.7672003308940034e-06,52,valley,-4.908321206781582e-05,-4.731601173692182e-05,1.3216669441309127e-07,True,valley->peak,incipient>decay>intensification>decay
20191104,real,,treino,False,118,True,peak,peak,0.0,0.0,-1.4457565643180682e-05,35,valley,-6.165960899186436e-05,-4.720204334868368e-05,-1.551837834331599e-06,False,alternating types,intensification>mature>decay
20191155,real,,treino,False,93,True,peak,peak,0.0,0.0,-1.1831370311252175e-05,40,valley,-6.614893525592353e-05,-5.4317564944671355e-05,-6.83129693765342e-07,False,alternating types,incipient>intensification>mature>decay
20201245,real,,treino,False,98,True,peak,peak,0.0,0.0,-9.543019728627052e-06,46,valley,-5.28509836199395e-05,-4.3307963891312447e-05,-9.668932664515066e-07,False,alternating types,intensification>mature>decay
20202023,real,,treino,False,78,True,peak,peak,0.0,0.0,-1.8788068989918125e-05,60,valley,-6.947687138329024e-05,-5.0688802393372116e-05,-8.285764447815392e-07,False,alternating types,intensification>mature>decay
20203373,real,,teste,False,79,True,peak,peak,0.0,0.0,-2.406729834422578e-05,35,valley,-4.291739855393344e-05,-1.8850100209707663e-05,-1.2139969820183417e-07,False,alternating types,incipient>intensification>mature>decay
20203389,real,,teste,False,95,True,peak,peak,0.0,0.0,-1.4165141594866699e-05,43,peak,-4.147747791661539e-05,-2.7312336321748692e-05,-1.3027875478557755e-06,False,"peak/peak, E1 not strictly higher",intensification>mature>decay
20203947,real,,treino,False,242,True,peak,peak,0.0,0.0,-3.7943652877689166e-06,61,valley,-1.6765715985318363e-05,-1.2971350697549446e-05,-1.0185153307626168e-06,False,alternating types,incipient>intensification>decay>intensification>decay>intensification>mature>decay>intensification>mature>decay>residual
20204655,real,,teste,False,57,True,peak,peak,0.0,0.0,-2.7416452583033133e-05,37,valley,-9.322000064733394e-05,-6.58035480643008e-05,-6.982996577306486e-07,False,alternating types,incipient>intensification>mature>decay
20205386,real,,treino,False,100,True,peak,peak,0.0,0.0,-1.9160383781927664e-05,41,valley,-4.5087146962753474e-05,-2.592676318082581e-05,-4.573982170122649e-07,False,alternating types,incipient>intensification>mature>decay>intensification>mature>decay>intensification>mature>decay
20206498,real,,teste,True,133,True,valley,valley,0.0,0.0,-1.610951401764738e-05,40,valley,-4.292391175474156e-05,-2.681439773709418e-05,1.3859658649673394e-08,True,valley->peak,incipient>decay>intensification>decay
20207822,real,,treino,False,162,True,peak,peak,0.0,0.0,-5.665035874829739e-06,23,peak,-1.743184664363903e-05,-1.176681076880929e-05,-9.768880892036168e-07,False,"peak/peak, E1 not strictly higher",intensification>mature>decay
s0596ea57,sintetico,IcIt_observational,treino,False,66,True,valley,valley,0.0,0.0,-7.701080670573316e-05,4,peak,-7.595322674796567e-05,1.057579957767493e-06,3.15126981180873e-07,False,alternating types,incipient>intensification
s46657891,sintetico,quase_ItD,treino,False,66,True,peak,peak,0.0,0.0,-7.128616078283992e-05,32,valley,-0.0007172021750887194,-0.0006459160143058795,-3.1196434919638922e-06,False,alternating types,incipient>intensification>mature>decay
s4e7ff65c,sintetico,ItMD_clean,treino,False,66,True,valley,valley,0.0,0.0,-6.122389562117106e-05,1,peak,-6.09197652464843e-05,3.0413037468676377e-07,3.0413037468676377e-07,False,alternating types,incipient>intensification>mature>decay
s5b8aa46f,sintetico,DItMD_residual_noisy,treino,False,66,True,valley,valley,0.0,0.0,-0.0006431494561395186,11,peak,-8.466448399986653e-05,0.0005584849721396521,4.7449180128481005e-05,False,alternating types,decay>intensification>mature>decay>residual
s5dcc0f79,sintetico,IcItMD_residual_clean,treino,False,66,True,peak,peak,0.0,0.0,-5.316037588898325e-05,21,valley,-0.0007548953174852457,-0.0007017349415962624,-1.072313806657308e-06,False,alternating types,incipient>intensification>mature>decay>residual
s6b1e8245,sintetico,IcDItMD_noisy,treino,False,66,True,valley,valley,0.0,0.0,-0.0007080917989496119,18,peak,-5.1865834849019545e-05,0.0006562259641005923,1.4072660811236416e-05,False,alternating types,incipient>decay>intensification>mature>decay
s6b542eee,sintetico,ItMD_ItMD_noisy,treino,False,66,True,peak,peak,0.0,0.0,-8.275547707747407e-05,16,valley,-0.0007597785893970264,-0.0006770231123195523,-2.5683836733560048e-05,False,alternating types,incipient>intensification>mature>decay>intensification>mature>decay
s8001f17b,sintetico,DItMD_noisy,treino,False,66,True,valley,valley,0.0,0.0,-0.0006403062554844786,12,peak,-7.209859128144403e-05,0.0005682076642030346,4.631907376006757e-05,False,alternating types,decay>intensification>mature>decay
s9ddbc53c,sintetico,IcItMD_residual_noisy,treino,False,66,True,peak,peak,0.0,0.0,-5.366836317682696e-05,21,valley,-0.0007549573221722312,-0.0007012889589954042,-2.2345427098150077e-06,False,alternating types,incipient>intensification>mature>decay>residual
sbceec644,sintetico,ItMD_noisy,treino,False,66,True,peak,peak,0.0,0.0,-6.532756342099564e-05,27,valley,-0.0007250149012762638,-0.0006596873378552681,-5.9197193673546475e-06,False,alternating types,incipient>intensification>mature>decay
sbd6c6920,sintetico,IcItMD_ItMD_noisy,treino,False,66,True,peak,peak,0.0,0.0,-3.640673067877815e-05,17,valley,-0.0007612110124030222,-0.0007248042817242441,-9.471009614735743e-06,False,alternating types,incipient>intensification>mature>decay>intensification>mature>decay
scfcf1387,sintetico,IcDItMD_residual_noisy,treino,False,66,True,valley,valley,0.0,0.0,-0.0007091167779997009,16,peak,-5.298929355001023e-05,0.0006561274844496907,1.934963274571877e-05,False,alternating types,incipient>decay>intensification>mature>decay>residual
