id,fonte,caso,split,alvo_A,n_steps,replay_ok,idx0_tipo_bruto,idx0_tipo_final,prom_idx0_conv_peak,prom_idx0_conv_valley,z0,E1_idx,E1_tipo,z_E1,z_E1_menos_z0,sinal_z1_menos_z0,C2_dispara,C2_ramo,seq_fases_params13
20150069,real,,treino,False,66,True,peak,peak,0.0,0.0,-1.9319273017575218e-05,37,valley,-7.470225698004972e-05,-5.538298396247451e-05,-1.0738499374341687e-06,False,alternating types,intensification>mature>decay
20150377,real,,teste,False,113,True,peak,peak,0.0,0.0,-8.64475269331917e-06,33,peak,-1.3868179786851468e-05,-5.223427093532297e-06,-6.01520833296823e-07,False,"peak/peak, E1 not strictly higher",incipient>intensification>decay
20150436,real,,treino,False,112,True,peak,peak,0.0,0.0,-1.234494890162485e-05,66,valley,-7.085050160366712e-05,-5.8505552702042265e-05,-8.889421238718287e-08,False,alternating types,incipient>intensification>mature>decay
20150528,real,,treino,False,51,True,peak,peak,0.0,0.0,-2.887624010392056e-05,33,valley,-6.629155724262972e-05,-3.7415317138709154e-05,-7.116153357620979e-07,False,alternating types,intensification>mature>decay
20150532,real,,treino,False,107,True,peak,peak,0.0,0.0,-1.4714219873077961e-05,40,valley,-5.423327672421585e-05,-3.951905685113789e-05,-9.282851319713058e-07,False,alternating types,intensification>mature>decay
20150561,real,,teste,False,146,True,peak,peak,0.0,0.0,-1.540711473510514e-05,47,valley,-5.75842417875407e-05,-4.217712705243556e-05,-1.729433513062616e-08,False,alternating types,intensification>mature>decay
20150646,real,,teste,False,130,True,peak,peak,0.0,0.0,-1.0776188028674092e-05,56,peak,-2.4471242758686034e-05,-1.3695054730011942e-05,-8.800735655199088e-08,False,"peak/peak, E1 not strictly higher",incipient>intensification>mature>decay
20150656,real,,treino,False,160,True,peak,peak,0.0,0.0,-1.232819461123922e-06,42,valley,-5.1712235505240406e-05,-5.0479416044116485e-05,-1.7641443988635803e-07,False,alternating types,intensification>mature>decay>intensification>mature>decay
20150746,real,,teste,False,71,True,peak,peak,0.0,0.0,-2.4257632482570385e-05,24,valley,-7.286508291792756e-05,-4.8607450435357176e-05,-1.1483309130794562e-06,False,alternating types,intensification>mature>decay
20160030,real,,teste,False,153,True,peak,peak,0.0,0.0,-1.2139337590767407e-05,48,valley,-6.246976718337889e-05,-5.0330429592611485e-05,-5.31858865207131e-07,False,alternating types,intensification>mature>decay
20160587,real,,treino,False,79,True,peak,peak,0.0,0.0,-2.1421020609951937e-05,24,peak,-3.502418824850875e-05,-1.3603167638556813e-05,-3.02076365727247e-07,False,"peak/peak, E1 not strictly higher",intensification>mature>decay
