id,fonte,n_steps,igual_off_on,default_igual_on
20150069,real,66,True,True
20150377,real,113,True,True
20150436,real,112,True,True
20150528,real,51,True,True
20150532,real,107,True,True
20150561,real,146,True,True
20150646,real,130,True,True
20150656,real,160,True,True
20150746,real,71,True,True
20160030,real,153,True,True
20160587,real,79,True,True
20160735,real,259,True,True
20170154,real,124,True,True
20170225,real,31,True,True
20170342,real,146,True,True
20170409,real,169,True,True
20170520,real,58,True,True
20170587,real,68,True,True
20170756,real,65,True,True
20170760,real,59,True,True
20170794,real,224,True,True
20170899,real,52,True,True
20171179,real,62,True,True
20180129,real,60,True,True
20180170,real,69,True,True
20180263,real,57,True,True
20180300,real,59,True,True
20180608,real,117,True,True
20180628,real,94,True,True
20180654,real,149,True,True
20180733,real,257,True,True
20180759,real,88,True,True
20181046,real,30,True,True
20190325,real,167,True,True
20190397,real,56,True,True
20190639,real,180,True,True
20190691,real,123,True,True
20190870,real,129,True,True
20190879,real,79,True,True
20191014,real,206,True,True
20191104,real,118,True,True
20191155,real,93,True,True
20201245,real,98,True,True
20202023,real,78,True,True
20203373,real,79,True,True
20203389,real,95,True,True
20203947,real,242,True,True
20204655,real,57,True,True
20205386,real,100,True,True
20206498,real,133,True,True
20207822,real,162,True,True
s0596ea57,sintetico,66,True,True
s46657891,sintetico,66,True,True
s4e7ff65c,sintetico,66,True,True
s5b8aa46f,sintetico,66,True,True
s5dcc0f79,sintetico,66,True,True
s6b1e8245,sintetico,66,True,True
s6b542eee,sintetico,66,True,True
s8001f17b,sintetico,66,True,True
s9ddbc53c,sintetico,66,True,True
sbceec644,sintetico,66,True,True
sbd6c6920,sintetico,66,True,True
scfcf1387,sintetico,66,True,True
<example_file>,exemplo,65,True,True
