id,fonte,caso,boundary_base,boundary_forcado,igual
20150069,real,,0,0,True
20150377,real,,35,35,True
20150436,real,,20,20,True
20150528,real,,0,0,True
20150532,real,,0,0,True
20150561,real,,0,0,True
20150646,real,,2,2,True
20150656,real,,0,0,True
20150746,real,,0,0,True
20160030,real,,0,0,True
20160587,real,,0,0,True
20160735,real,,0,0,True
20170154,real,,6,6,True
20170225,real,,8,8,True
20170342,real,,0,0,True
20170409,real,,6,6,True
20170520,real,,0,0,True
20170587,real,,0,0,True
20170756,real,,26,26,True
20170760,real,,0,0,True
20170794,real,,0,0,True
20170899,real,,0,0,True
20171179,real,,0,0,True
20180129,real,,0,0,True
20180170,real,,8,8,True
20180263,real,,0,0,True
20180300,real,,0,0,True
20180608,real,,38,38,True
20180628,real,,0,0,True
20180654,real,,0,0,True
20180733,real,,0,0,True
20180759,real,,4,4,True
20181046,real,,0,0,True
20190325,real,,9,9,True
20190397,real,,2,2,True
20190639,real,,13,13,True
20190691,real,,0,0,True
20190870,real,,10,10,True
20190879,real,,0,0,True
20191014,real,,9,9,True
20191104,real,,0,0,True
20191155,real,,1,1,True
20201245,real,,0,0,True
20202023,real,,0,0,True
20203373,real,,10,10,True
20203389,real,,0,0,True
20203947,real,,12,12,True
20204655,real,,8,8,True
20205386,real,,4,4,True
20206498,real,,9,9,True
20207822,real,,0,0,True
s0596ea57,sintetico,IcIt_observational,10,10,True
s46657891,sintetico,quase_ItD,3,3,True
s4e7ff65c,sintetico,ItMD_clean,5,5,True
s5b8aa46f,sintetico,DItMD_residual_noisy,0,0,True
s5dcc0f79,sintetico,IcItMD_residual_clean,5,5,True
s6b1e8245,sintetico,IcDItMD_noisy,2,2,True
s6b542eee,sintetico,ItMD_ItMD_noisy,2,2,True
s8001f17b,sintetico,DItMD_noisy,0,0,True
s9ddbc53c,sintetico,IcItMD_residual_noisy,4,4,True
sbceec644,sintetico,ItMD_noisy,2,2,True
sbd6c6920,sintetico,IcItMD_ItMD_noisy,4,4,True
scfcf1387,sintetico,IcDItMD_residual_noisy,2,2,True
