track,geometric,plateau,amplitude,seq_geo,seq_amp
20190325,1,7,11,incipient > decay > intensification > mature > residual,incipient > decay > intensification > mature > residual
20206498,0,9,13,decay > intensification,incipient > decay > intensification
20150377,3,4,4,incipient > intensification > mature > decay,incipient > intensification > mature > decay
20190639,3,3,4,incipient > intensification > mature > decay,incipient > intensification > mature > decay
20203373,8,9,12,incipient > intensification > mature > decay > residual,incipient > intensification > mature > decay > residual
20170225,6,2,6,incipient > intensification > mature > decay,incipient > intensification > mature > decay
20204655,5,3,9,incipient > intensification > mature > decay,incipient > intensification > mature > decay
