dataset,track,config,gt_kind,gt_boundary,n,r_t0,r_tfinal,via,via_fired,leading_nan_len,total_nan,n_phases_order,phases_order,replica_consistent,has_incipient,boundary_idx,boundary_frac,boundary_hours,rel_at_boundary,rel_mean_first10pct,rel_argmax_idx,tau0.05_idx,tau0.05_frac,tau0.05_hours,tau0.05_minus_current,tau0.10_idx,tau0.10_frac,tau0.10_hours,tau0.10_minus_current,tau0.15_idx,tau0.15_frac,tau0.15_hours,tau0.15_minus_current,tau0.20_idx,tau0.20_frac,tau0.20_hours,tau0.20_minus_current,tau0.30_idx,tau0.30_frac,tau0.30_hours,tau0.30_minus_current,phase_seq,boundary_err,tau0.05_err,tau0.10_err,tau0.15_err,tau0.20_err,tau0.30_err
real,20150069,author,,,66,0.11439530854507839,0.09809633034504112,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,4,0.06060606060606061,4.0,0.7711779573698553,0.508074874163427,8,0,0.0,0.0,-4.0,0,0.0,0.0,-4.0,1,0.015151515151515152,1.0,-3.0,1,0.015151515151515152,1.0,-3.0,2,0.030303030303030304,2.0,-2.0,incipient > intensification > mature > decay,,,,,,
real,20150069,defaults,,,66,0.4621974398384656,0.419352481590778,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,7,0.10606060606060606,7.0,0.7140336395590183,0.5416949031479344,17,0,0.0,0.0,-7.0,0,0.0,0.0,-7.0,0,0.0,0.0,-7.0,0,0.0,0.0,-7.0,0,0.0,0.0,-7.0,incipient > intensification > mature > decay,,,,,,
real,20150377,author,,,113,0.030856954491379762,0.03426130731573965,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,3,0.02654867256637168,3.0,0.1667782638939032,0.18426756105732345,46,1,0.008849557522123894,1.0,-2.0,2,0.017699115044247787,2.0,-1.0,3,0.02654867256637168,3.0,0.0,4,0.035398230088495575,4.0,1.0,37,0.3274336283185841,37.0,34.0,incipient > intensification > mature > decay,,,,,,
real,20150377,defaults,,,113,0.051306536698117314,0.3438947249391107,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,17,0.1504424778761062,17.0,0.34234067318554795,0.10096614524794066,42,0,0.0,0.0,-17.0,6,0.05309734513274336,6.0,-11.0,9,0.07964601769911504,9.0,-8.0,12,0.10619469026548672,12.0,-5.0,16,0.1415929203539823,16.0,-1.0,incipient > intensification > mature > decay,,,,,,
real,20150436,author,,,112,0.01758486363922685,0.04228087579875043,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,4,0.03571428571428571,4.0,0.12337902385281425,0.11937825285512678,50,2,0.017857142857142856,2.0,-2.0,4,0.03571428571428571,4.0,0.0,6,0.05357142857142857,6.0,2.0,20,0.17857142857142858,20.0,16.0,23,0.20535714285714285,23.0,19.0,incipient > intensification > mature > decay,,,,,,
real,20150436,defaults,,,112,0.11262857951791715,0.37196935060768427,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,18,0.16071428571428573,18.0,0.44159088846954336,0.17067846703157108,43,0,0.0,0.0,-18.0,0,0.0,0.0,-18.0,4,0.03571428571428571,4.0,-14.0,8,0.07142857142857142,8.0,-10.0,13,0.11607142857142858,13.0,-5.0,incipient > intensification > mature > decay,,,,,,
real,20150528,author,,,51,0.06668101038691947,0.11518852148153359,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,3,0.058823529411764705,3.0,0.3405027830703464,0.2382499331612587,43,0,0.0,0.0,-3.0,1,0.0196078431372549,1.0,-2.0,2,0.0392156862745098,2.0,-1.0,2,0.0392156862745098,2.0,-1.0,3,0.058823529411764705,3.0,0.0,incipient > intensification > mature > decay,,,,,,
real,20150528,defaults,,,51,0.23450083494977073,0.5346608881618045,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,8,0.1568627450980392,8.0,0.5646064389048651,0.2931638409208214,19,0,0.0,0.0,-8.0,0,0.0,0.0,-8.0,0,0.0,0.0,-8.0,0,0.0,0.0,-8.0,3,0.058823529411764705,3.0,-5.0,incipient > intensification > mature > decay,,,,,,
real,20150532,author,,,107,0.08043191038839004,0.0632872044116618,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,8,0.07476635514018691,8.0,0.7483457935665645,0.5105343205106845,18,0,0.0,0.0,-8.0,1,0.009345794392523364,1.0,-7.0,1,0.009345794392523364,1.0,-7.0,2,0.018691588785046728,2.0,-6.0,2,0.018691588785046728,2.0,-6.0,incipient > intensification > mature > decay > residual,,,,,,
real,20150532,defaults,,,107,0.6943163349405227,0.40698410981943883,iii_caseB_startsIt,True,0,0,3,intensification > mature > decay,True,True,8,0.07476635514018691,8.0,0.8619909505889322,0.7870236616900869,19,0,0.0,0.0,-8.0,0,0.0,0.0,-8.0,0,0.0,0.0,-8.0,0,0.0,0.0,-8.0,0,0.0,0.0,-8.0,incipient > intensification > mature > decay,,,,,,
