track_id,split,idx0_tipo,sinal_dz_filtrada,sinal_dz_bruta,decai_no_idx0,decai_comprimento_passos,decai_fracao_serie,decai_fracao_amplitude,replay_equals_get_periods
20150069,treino,peak,-,-,nao,0,0.0,0.0,sim
20150377,teste,peak,-,-,nao,0,0.0,0.0,sim
20150436,treino,peak,-,-,nao,0,0.0,0.0,sim
20150528,treino,peak,-,-,nao,0,0.0,0.0,sim
20150532,treino,peak,-,-,nao,0,0.0,0.0,sim
20150561,teste,peak,-,-,nao,0,0.0,0.0,sim
20150646,teste,peak,-,-,nao,0,0.0,0.0,sim
20150656,treino,peak,-,-,nao,0,0.0,0.0,sim
20150746,teste,peak,-,-,nao,0,0.0,0.0,sim
20160030,teste,peak,-,-,nao,0,0.0,0.0,sim
20160587,treino,peak,-,-,nao,0,0.0,0.0,sim
20160735,treino,peak,-,-,nao,0,0.0,0.0,sim
20170154,treino,peak,-,-,nao,0,0.0,0.0,sim
20170225,teste,peak,-,-,nao,0,0.0,0.0,sim
20170342,treino,peak,-,-,nao,0,0.0,0.0,sim
20170409,treino,peak,-,-,nao,0,0.0,0.0,sim
20170520,treino,peak,-,-,nao,0,0.0,0.0,sim
20170587,teste,peak,-,-,nao,0,0.0,0.0,sim
20170756,teste,peak,-,-,nao,0,0.0,0.0,sim
20170760,treino,peak,-,-,nao,0,0.0,0.0,sim
20170794,treino,peak,-,-,nao,0,0.0,0.0,sim
20170899,teste,peak,-,-,nao,0,0.0,0.0,sim
20171179,treino,peak,-,-,nao,0,0.0,0.0,sim
20180129,teste,peak,-,-,nao,0,0.0,0.0,sim
20180170,treino,valley,+,-,sim,22,0.3188,0.1141,sim
20180263,treino,peak,-,-,nao,0,0.0,0.0,sim
20180300,treino,peak,-,-,nao,0,0.0,0.0,sim
20180608,treino,valley,+,-,sim,11,0.094,0.0614,sim
20180628,treino,peak,-,-,nao,0,0.0,0.0,sim
20180654,teste,peak,-,-,nao,0,0.0,0.0,sim
20180733,treino,peak,-,-,nao,0,0.0,0.0,sim
20180759,treino,peak,-,+,nao,0,0.0,0.0,sim
20181046,treino,peak,-,-,nao,0,0.0,0.0,sim
20190325,treino,valley,+,-,sim,88,0.5269,0.4636,sim
20190397,treino,peak,-,+,nao,0,0.0,0.0,sim
20190639,treino,peak,-,-,nao,0,0.0,0.0,sim
20190691,teste,peak,-,-,nao,0,0.0,0.0,sim
20190870,treino,peak,-,-,nao,0,0.0,0.0,sim
20190879,treino,peak,-,-,nao,0,0.0,0.0,sim
20191014,treino,valley,+,-,sim,124,0.6019,0.1908,sim
20191104,treino,peak,-,-,nao,0,0.0,0.0,sim
20191155,treino,peak,-,-,nao,0,0.0,0.0,sim
20201245,treino,peak,-,-,nao,0,0.0,0.0,sim
20202023,treino,peak,-,-,nao,0,0.0,0.0,sim
20203373,teste,peak,-,-,nao,0,0.0,0.0,sim
20203389,teste,peak,-,-,nao,0,0.0,0.0,sim
20203947,treino,peak,-,-,nao,0,0.0,0.0,sim
20204655,teste,peak,-,-,nao,0,0.0,0.0,sim
20205386,treino,peak,-,-,nao,0,0.0,0.0,sim
20206498,teste,valley,+,-,sim,77,0.5789,0.3203,sim
20207822,treino,peak,-,-,nao,0,0.0,0.0,sim
