track_id,split,idx0_tipo,sinal_dz_filtrada,sinal_dz_bruta,decai_no_idx0,decai_comprimento_passos,decai_fracao_serie,decai_fracao_amplitude
20150069,treino,peak,-,-,nao,0,0.0,0.0
20150377,teste,peak,-,-,nao,0,0.0,0.0
20150436,treino,peak,-,-,nao,0,0.0,0.0
20150528,treino,peak,-,-,nao,0,0.0,0.0
20150532,treino,peak,-,-,nao,0,0.0,0.0
20150561,teste,peak,-,-,nao,0,0.0,0.0
20150646,teste,peak,-,-,nao,0,0.0,0.0
20150656,treino,peak,-,-,nao,0,0.0,0.0
20150746,teste,peak,-,-,nao,0,0.0,0.0
20160030,teste,peak,-,-,nao,0,0.0,0.0
20160587,treino,peak,-,-,nao,0,0.0,0.0
20160735,treino,peak,-,-,nao,0,0.0,0.0
20170154,treino,peak,-,-,nao,0,0.0,0.0
20170225,teste,peak,-,-,nao,0,0.0,0.0
20170342,treino,peak,-,-,nao,0,0.0,0.0
20170409,treino,peak,-,-,nao,0,0.0,0.0
20170520,treino,peak,-,-,nao,0,0.0,0.0
20170587,teste,peak,-,-,nao,0,0.0,0.0
20170756,teste,peak,-,-,nao,0,0.0,0.0
20170760,treino,peak,-,-,nao,0,0.0,0.0
20170794,treino,peak,-,-,nao,0,0.0,0.0
20170899,teste,peak,-,-,nao,0,0.0,0.0
20171179,treino,peak,-,-,nao,0,0.0,0.0
20180129,teste,peak,-,-,nao,0,0.0,0.0
20180170,treino,valley,+,-,sim,22,0.3188,0.1141
20180263,treino,peak,-,-,nao,0,0.0,0.0
20180300,treino,peak,-,-,nao,0,0.0,0.0
20180608,treino,valley,+,-,sim,11,0.094,0.0614
20180628,treino,peak,-,-,nao,0,0.0,0.0
20180654,teste,peak,-,-,nao,0,0.0,0.0
20180733,treino,peak,-,-,nao,0,0.0,0.0
20180759,treino,peak,-,+,nao,0,0.0,0.0
20181046,treino,peak,-,-,nao,0,0.0,0.0
20190325,treino,valley,+,-,sim,88,0.5269,0.4636
20190397,treino,peak,-,+,nao,0,0.0,0.0
20190639,treino,peak,-,-,nao,0,0.0,0.0
20190691,teste,peak,-,-,nao,0,0.0,0.0
20190870,treino,peak,-,-,nao,0,0.0,0.0
20190879,treino,peak,-,-,nao,0,0.0,0.0
20191014,treino,valley,+,-,sim,124,0.6019,0.1908
20191104,treino,peak,-,-,nao,0,0.0,0.0
20191155,treino,peak,-,-,nao,0,0.0,0.0
20201245,treino,peak,-,-,nao,0,0.0,0.0
20202023,treino,peak,-,-,nao,0,0.0,0.0
20203373,teste,peak,-,-,nao,0,0.0,0.0
20203389,teste,peak,-,-,nao,0,0.0,0.0
20203947,treino,peak,-,-,nao,0,0.0,0.0
20204655,teste,peak,-,-,nao,0,0.0,0.0
20205386,treino,peak,-,-,nao,0,0.0,0.0
20206498,teste,valley,+,-,sim,77,0.5789,0.3203
20207822,treino,peak,-,-,nao,0,0.0,0.0
