id,source,origin,group,n,boundary,peak,signal,symptom,pre,final,erased_non_incipient,labelled,label_int_start,label_incipient_end,label_seq,label_int_start_lt_boundary,label_int_start_lt_peak,label_inc_end_minus_boundary,label_inc_end_minus_peak
19790612,real,batch,S,48,15,0,True,False,decay,incipient > decay,decay[0-14],True,,13,incipient > decay,,,-2.0,13.0
19810854,real,batch,S,72,62,56,True,False,intensification > mature > decay,incipient > decay,intensification[0-48];mature[49-60];decay[61-61],True,3.0,3,incipient > intensification > mature > decay,True,True,-59.0,-53.0
19860380,real,batch,R,45,12,10,True,True,intensification > mature > decay,incipient > mature > decay,intensification[0-7];mature[8-11],True,,14,incipient > decay,,,2.0,4.0
19870927,real,batch,R,92,66,62,True,True,decay > intensification > mature > decay > intensification > mature > decay,incipient > mature > decay,decay[0-7];intensification[8-17];mature[18-22];decay[23-43];intensification[44-59];mature[60-65],True,,64,incipient > decay,,,-2.0,2.0
19940445,real,batch,R,47,38,22,True,False,intensification > mature > decay,incipient > decay,intensification[0-14];mature[15-24];decay[25-37],True,8.0,8,incipient > intensification > mature > decay > intensification > mature > decay,True,True,-30.0,-14.0
20050893,real,batch,C,56,0,37,False,False,intensification > mature > decay,intensification > mature > decay,,True,4.0,4,incipient > intensification > mature > decay,False,True,4.0,-33.0
20120297,real,batch,R,40,10,7,True,False,intensification > mature > decay > residual,incipient > decay > residual,intensification[0-5];mature[6-9],True,2.0,2,incipient > intensification > mature > decay > residual,True,True,-8.0,-5.0
20150069,real,split,,66,0,37,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20150436,real,split,,112,20,66,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-19],True,16.0,16,incipient > intensification > mature > decay,True,True,-4.0,-50.0
20150528,real,split,,51,0,33,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20150532,real,split,,107,0,40,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20150656,real,split,,160,0,42,False,False,intensification > mature > decay > intensification > mature > decay,intensification > mature > decay > intensification > mature > decay,,True,0.0,none,intensification > mature > decay > residual,False,True,,
