id,source,origin,group,n,boundary,peak,signal,symptom,pre,final,erased_non_incipient,labelled,label_int_start,label_incipient_end,label_seq,label_int_start_lt_boundary,label_int_start_lt_peak,label_inc_end_minus_boundary,label_inc_end_minus_peak
20160587,real,split,,79,0,56,False,False,intensification > mature > decay,intensification > mature > decay,,True,26.0,26,incipient > intensification > mature > decay,False,True,26.0,-30.0
20160735,real,split,,259,0,159,False,False,intensification > decay > intensification > decay > intensification > mature > decay > residual,intensification > decay > intensification > decay > intensification > mature > decay > residual,,True,19.0,19,incipient > intensification > mature > decay,False,True,19.0,-140.0
20170154,real,split,,124,6,41,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-5],True,6.0,6,incipient > intensification > mature > decay,False,True,0.0,-35.0
20170342,real,split,,146,0,46,False,False,intensification > mature > decay > residual,intensification > mature > decay > residual,,True,0.0,none,intensification > mature > decay,False,True,,
20170409,real,split,,169,6,64,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-5],True,6.0,6,incipient > intensification > mature > decay,False,True,0.0,-58.0
20170520,real,split,,58,0,31,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20170760,real,split,,59,0,29,False,False,intensification > decay,intensification > decay,,True,0.0,ambiguous,intensification > mature > decay,False,True,,
20170794,real,split,,224,0,42,False,False,intensification > mature > decay > residual,intensification > mature > decay > residual,,True,0.0,none,intensification > mature > decay > residual,False,True,,
20171179,real,split,,62,0,45,False,False,intensification > mature > decay,intensification > mature > decay,,True,11.0,11,incipient > intensification,False,True,11.0,-34.0
20180170,real,split,,69,8,39,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-7],True,20.0,ambiguous,incipient > intensification > mature > decay,False,True,,
20180263,real,split,,57,0,30,False,False,intensification > mature > decay > residual,intensification > mature > decay > residual,,True,0.0,none,intensification > mature > decay > residual,False,True,,
20180300,real,split,,59,0,20,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20180608,real,split,,117,38,66,False,False,decay > intensification > mature > decay,incipient > intensification > mature > decay,decay[0-10];intensification[11-37],True,37.0,37,incipient > intensification > mature > decay,True,True,-1.0,-29.0
20180628,real,split,,94,0,37,False,False,intensification > mature > decay > intensification > mature > decay,intensification > mature > decay > intensification > mature > decay,,True,9.0,9,incipient > intensification > mature > decay > residual,False,True,9.0,-28.0
20180733,real,split,,257,0,140,False,False,intensification > mature > decay > intensification > mature > decay,intensification > mature > decay > intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20180759,real,split,,88,4,34,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-3],True,4.0,4,incipient > intensification > mature > decay,False,True,0.0,-30.0
20181046,real,split,,30,0,26,False,False,intensification > mature > decay,intensification > mature > decay,,True,9.0,9,incipient > intensification,False,True,9.0,-17.0
20190325,real,split,,167,9,103,False,False,intensification > decay > intensification > mature > decay,incipient > intensification > decay > intensification > mature > decay,intensification[0-8],True,10.0,10,incipient > intensification > mature > decay,False,True,1.0,-93.0
20190397,real,split,,56,2,38,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-1],True,8.0,8,incipient > intensification > mature > decay,False,True,6.0,-30.0
20190639,real,split,,180,13,92,False,False,decay > intensification > mature > decay,incipient > decay > intensification > mature > decay,decay[0-12],True,25.0,25,incipient > intensification > mature > decay,False,True,12.0,-67.0
20190870,real,split,,129,10,41,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-9],True,12.0,12,incipient > intensification > mature > decay,False,True,2.0,-29.0
20190879,real,split,,79,0,34,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20191014,real,split,,206,9,52,False,False,intensification > mature > decay > residual,incipient > intensification > mature > decay > residual,intensification[0-8],True,0.0,none,intensification > mature > decay,True,True,,
20191104,real,split,,118,0,35,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20191155,real,split,,93,1,40,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-0],True,0.0,none,intensification > mature > decay,True,True,,
20201245,real,split,,98,0,46,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
20202023,real,split,,78,0,60,False,False,intensification > mature > decay,intensification > mature > decay,,True,11.0,11,incipient > intensification > mature > decay,False,True,11.0,-49.0
20203947,real,split,,242,12,132,False,False,intensification > decay > intensification > decay > intensification > mature > decay > intensification > mature > decay > residual,incipient > intensification > decay > intensification > decay > intensification > mature > decay > intensification > mature > decay > residual,intensification[0-11],True,38.0,38,incipient > intensification > mature > decay > intensification > mature > decay > residual,False,True,26.0,-94.0
20205386,real,split,,100,4,82,False,False,intensification > mature > decay > intensification > mature > decay > intensification > mature > decay,incipient > intensification > mature > decay > intensification > mature > decay > intensification > mature > decay,intensification[0-3],True,5.0,5,incipient > intensification > mature > decay > residual,False,True,1.0,-77.0
20207822,real,split,,162,0,51,False,False,intensification > mature > decay,intensification > mature > decay,,True,0.0,none,intensification > mature > decay,False,True,,
s0596ea57,synthetic,split,,66,10,65,False,False,— > intensification,incipient > intensification,intensification[4-9],True,14.0,14,incipient > intensification,False,True,4.0,-51.0
s46657891,synthetic,split,,66,3,32,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-2],True,3.0,3,incipient > intensification > mature > decay,False,True,0.0,-29.0
s4e7ff65c,synthetic,split,,66,5,27,False,False,— > intensification > mature > decay,incipient > intensification > mature > decay,intensification[1-4],True,5.0,5,incipient > intensification > mature > decay,False,True,0.0,-22.0
s5b8aa46f,synthetic,split,,66,0,27,False,False,decay > intensification > mature > decay > residual,decay > intensification > mature > decay > residual,,True,11.0,none,decay > intensification > mature > decay > residual,False,True,,
s5dcc0f79,synthetic,split,,66,5,21,False,False,intensification > mature > decay > residual,incipient > intensification > mature > decay > residual,intensification[0-4],True,4.0,4,incipient > intensification > mature > decay > residual,True,True,-1.0,-17.0
s6b1e8245,synthetic,split,,66,2,40,False,False,decay > intensification > mature > decay,incipient > decay > intensification > mature > decay,decay[0-1],True,18.0,3,incipient > decay > intensification > mature > decay,False,True,1.0,-37.0
s6b542eee,synthetic,split,,66,2,48,False,False,intensification > mature > decay > intensification > mature > decay,incipient > intensification > mature > decay > intensification > mature > decay,intensification[0-1],True,2.0,2,incipient > intensification > mature > decay > intensification > mature > decay,False,True,0.0,-46.0
s8001f17b,synthetic,split,,66,0,32,False,False,decay > intensification > mature > decay,decay > intensification > mature > decay,,True,11.0,none,decay > intensification > mature > decay,False,True,,
s9ddbc53c,synthetic,split,,66,4,21,False,False,intensification > mature > decay > residual,incipient > intensification > mature > decay > residual,intensification[0-3],True,3.0,3,incipient > intensification > mature > decay > residual,True,True,-1.0,-18.0
sbceec644,synthetic,split,,66,2,27,False,False,intensification > mature > decay,incipient > intensification > mature > decay,intensification[0-1],True,3.0,3,incipient > intensification > mature > decay,False,True,1.0,-24.0
sbd6c6920,synthetic,split,,66,4,17,False,False,intensification > mature > decay > intensification > mature > decay,incipient > intensification > mature > decay > intensification > mature > decay,intensification[0-3],True,5.0,5,incipient > intensification > mature > decay > intensification > mature > decay,False,True,1.0,-12.0
scfcf1387,synthetic,split,,66,2,33,False,False,decay > intensification > mature > decay > residual,incipient > decay > intensification > mature > decay > residual,decay[0-1],True,16.0,3,incipient > decay > intensification > mature > decay > residual,False,True,1.0,-30.0
