id,group,source,n,boundary,peak,signal,E_start,E_end,c1,c2,c3,P_erasure,label_incipient_end,label_int_start
19810854,L,batch,72,62,56,True,0.0,48.0,0.8903267078336543,0.01816993281293172,1.0,,3,3.0
19940445,L,batch,47,38,22,True,0.0,14.0,0.8515439808916968,0.05676959872611312,1.0,,8,8.0
20120297,L,batch,40,10,7,True,0.0,5.0,0.20903199805013745,0.03483866634168958,1.0,,2,2.0
19790612,K,batch,48,15,0,True,,,,,,,13,
19860380,K,batch,45,12,10,True,0.0,7.0,0.15973200889213557,0.019966501111516946,1.0,,14,
19870927,K,batch,92,66,62,True,8.0,17.0,0.22611638902222098,0.0226116389022221,1.0,,64,
20150436,P,split,112,20,66,False,0.0,57.0,0.8810937678810367,0.015191271860017874,0.3448275862068966,partial,16,16.0
20170154,P,split,124,6,41,False,0.0,34.0,0.8961435926255459,0.02560410264644417,0.17142857142857143,partial,6,6.0
20170409,P,split,169,6,64,False,0.0,59.0,0.8898530102139238,0.014830883503565397,0.1,partial,6,6.0
20180170,P,split,69,8,39,False,0.0,35.0,0.39614799516106625,0.011004110976696284,0.2222222222222222,partial,ambiguous,20.0
20180608,P,split,117,38,66,False,11.0,61.0,0.9027429502328481,0.017700842161428393,0.5294117647058824,partial,37,37.0
20180759,P,split,88,4,34,False,0.0,27.0,0.8715466984482212,0.031126667801722185,0.14285714285714285,partial,4,4.0
20190325,P,split,167,9,103,False,0.0,63.0,0.7089113525391326,0.011076739883423947,0.140625,partial,10,10.0
20190397,P,split,56,2,38,False,0.0,27.0,0.8816547911473133,0.031487671112404046,0.07142857142857142,partial,8,8.0
20190870,P,split,129,10,41,False,0.0,34.0,0.6943795552465928,0.019839415864188366,0.2857142857142857,partial,12,12.0
20191014,P,split,206,9,52,False,0.0,44.0,0.837249553532267,0.01860554563405038,0.2,partial,none,0.0
20191155,P,split,93,1,40,False,0.0,29.0,0.8854650585069517,0.029515501950231723,0.03333333333333333,partial,none,0.0
20203947,P,split,242,12,132,False,0.0,60.0,0.4009091456451508,0.006572281076150013,0.19672131147540983,partial,38,38.0
20205386,P,split,100,4,82,False,0.0,35.0,0.7707521700435738,0.02140978250121038,0.1111111111111111,partial,5,5.0
s0596ea57,P,synthetic,66,10,65,False,4.0,65.0,1.0,0.016129032258064516,0.0967741935483871,partial,14,14.0
s46657891,P,synthetic,66,3,32,False,0.0,25.0,0.8815806356335917,0.03390694752436891,0.11538461538461539,partial,3,3.0
s4e7ff65c,P,synthetic,66,5,27,False,1.0,20.0,0.8875586429956049,0.044377932149780246,0.2,partial,5,5.0
s5dcc0f79,P,synthetic,66,5,21,False,0.0,17.0,0.8984664434693613,0.049914802414964515,0.2777777777777778,partial,4,4.0
s6b542eee,P,synthetic,66,2,48,False,0.0,11.0,0.8211409380653109,0.06842841150544257,0.16666666666666666,partial,2,2.0
s9ddbc53c,P,synthetic,66,4,21,False,0.0,17.0,0.892749371414377,0.04959718730079873,0.2222222222222222,partial,3,3.0
sbceec644,P,synthetic,66,2,27,False,0.0,19.0,0.8749552960207125,0.04374776480103563,0.1,partial,3,3.0
sbd6c6920,P,synthetic,66,4,17,False,0.0,13.0,0.8392443542719225,0.05994602530513732,0.2857142857142857,partial,5,5.0
