parameter,base_config,kind,status,kwarg,n_values_swept,inert,n_tracks_changed,n_changed_observations,n_skipped_observations,n_unevaluable_tracks,changed_tracks,category
boundary_padding,plateau_sustained_vorticity,pv,SKIPPED_REDUNDANT,boundary_padding,,,,,,,,
boundary_padding,extrema_prominence_on,pv,SKIPPED_REDUNDANT,boundary_padding,,,,,,,,
boundary_padding,extrema_distance_on,pv,SKIPPED_REDUNDANT,boundary_padding,,,,,,,,
boundary_padding,decay_tail_on,pv,SKIPPED_REDUNDANT,boundary_padding,,,,,,,,
sm_val,default,pv,TESTED_NEW,use_smoothing,29,False,50,1076,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
sm_val,nofilter,pv,TESTED_NEW,use_smoothing,29,False,51,1408,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
sm_val,nosmoothing,pv,TESTED_NEW,use_smoothing,29,False,50,974,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
sm_val,manual_sm,pv,TESTED_CURATED,use_smoothing,29,False,50,1076,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
sm_val,manual_sm2,pv,TESTED_NEW,use_smoothing,29,False,50,943,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
sm_val,mature_derivative,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm_val,mature_amplitude,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm_val,plateau_single_derivative,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm_val,plateau_single_vorticity,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm_val,plateau_sustained_derivative,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm_val,plateau_sustained_vorticity,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm_val,extrema_prominence_on,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm_val,extrema_distance_on,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm_val,decay_tail_on,pv,SKIPPED_REDUNDANT,use_smoothing,,,,,,,,
sm2_val,default,pv,TESTED_NEW,use_smoothing_twice,29,False,47,714,0,0,20150069;20150377;20150528;20150532;20150561;20150646;20150656;20150746;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498,
sm2_val,nofilter,pv,TESTED_NEW,use_smoothing_twice,29,False,51,1056,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
sm2_val,nosmoothing,pv,TESTED_NEW,use_smoothing_twice,29,True,0,0,0,0,,POR_DESENHO
sm2_val,manual_sm,pv,TESTED_NEW,use_smoothing_twice,29,False,50,859,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
sm2_val,manual_sm2,pv,TESTED_CURATED,use_smoothing_twice,29,False,47,714,0,0,20150069;20150377;20150528;20150532;20150561;20150646;20150656;20150746;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498,
sm2_val,mature_derivative,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
sm2_val,mature_amplitude,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
sm2_val,plateau_single_derivative,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
sm2_val,plateau_single_vorticity,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
sm2_val,plateau_sustained_derivative,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
sm2_val,plateau_sustained_vorticity,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
sm2_val,extrema_prominence_on,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
sm2_val,extrema_distance_on,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
sm2_val,decay_tail_on,pv,SKIPPED_REDUNDANT,use_smoothing_twice,,,,,,,,
