parameter,base_config,kwarg,n_values_swept,inert,n_tracks_changed,n_changed_observations,n_skipped_observations,n_unevaluable_tracks,changed_tracks,category
savgol_poly,nosmoothing,savgol_polynomial,4,True,0,0,0,0,,POR_DESENHO
use_filter,default,use_filter,2,False,41,41,0,0,20150377;20150528;20150532;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180628;20180733;20180759;20181046;20190325;20190639;20190691;20190879;20191014;20191104;20191155;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
thr_int_len,default,threshold_intensification_length,59,False,4,71,0,0,20160735;20170756;20170794;20180733,
thr_dec_len,default,threshold_decay_length,59,False,16,375,0,0,20150646;20150656;20160587;20160735;20170225;20170794;20171179;20180733;20190325;20190639;20202023;20203389;20203947;20204655;20205386;20206498,
thr_int_gap,default,threshold_intensification_gap,59,True,0,0,0,0,,DEPENDENTE_DOS_DADOS
thr_dec_gap,default,threshold_decay_gap,59,False,3,60,0,0,20160735;20170794;20180733,
thr_mat_len,mature_derivative,threshold_mature_length,30,False,50,446,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
thr_mat_len,mature_amplitude,threshold_mature_length,30,True,0,0,0,0,,POR_DESENHO
thr_mat_dist,mature_derivative,threshold_mature_distance,51,False,50,2442,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
thr_mat_dist,mature_amplitude,threshold_mature_distance,51,True,0,0,0,0,,POR_DESENHO
thr_inc_len,default,threshold_incipient_length,51,False,49,2323,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
thr_inc_len,plateau_single_derivative,threshold_incipient_length,51,True,0,0,0,0,,POR_DESENHO
mature_amplitude_fraction,mature_amplitude,mature_amplitude_fraction,96,False,50,4737,1,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
mature_amplitude_fraction,mature_derivative,mature_amplitude_fraction,96,True,0,0,0,0,,POR_DESENHO
length_scale,default,length_scale,2,False,1,1,0,0,20160735,
mature_method,default,mature_method,2,False,50,50,0,0,20150069;20150377;20150436;20150528;20150532;20150561;20150646;20150656;20150746;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170760;20170794;20170899;20171179;20180129;20180170;20180263;20180300;20180608;20180628;20180654;20180733;20180759;20190325;20190397;20190639;20190691;20190870;20190879;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
incipient_plateau_tau,default,incipient_plateau_tau,60,True,0,0,0,0,,POR_DESENHO
incipient_plateau_tau,plateau_single_derivative,incipient_plateau_tau,60,False,33,850,0,0,20150069;20150377;20150436;20150528;20150646;20160587;20160735;20170225;20170409;20170520;20170587;20170756;20170760;20170899;20171179;20180129;20180170;20180263;20180608;20180654;20180759;20181046;20190397;20190639;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20207822,
incipient_plateau_signal,default,incipient_plateau_signal,2,True,0,0,0,0,,POR_DESENHO
incipient_plateau_signal,plateau_single_derivative,incipient_plateau_signal,2,False,13,13,0,0,20150377;20150436;20150561;20150646;20170756;20180170;20180608;20180654;20180759;20190397;20190639;20204655;20205386,
incipient_plateau_crossing,default,incipient_plateau_crossing,2,True,0,0,0,0,,POR_DESENHO
incipient_plateau_crossing,plateau_single_derivative,incipient_plateau_crossing,2,True,0,0,0,0,,DEPENDENTE_DOS_DADOS
incipient_plateau_k,default,incipient_plateau_k,25,True,0,0,0,0,,POR_DESENHO
incipient_plateau_k,plateau_single_derivative,incipient_plateau_k,25,True,0,0,0,0,,POR_DESENHO
incipient_plateau_k,plateau_single_vorticity,incipient_plateau_k,25,True,0,0,0,0,,POR_DESENHO
incipient_plateau_k,plateau_sustained_derivative,incipient_plateau_k,25,False,1,3,0,0,20180300,
incipient_plateau_k,plateau_sustained_vorticity,incipient_plateau_k,25,False,42,599,0,0,20150377;20150436;20150528;20150561;20150646;20150656;20160030;20160587;20160735;20170154;20170225;20170342;20170409;20170520;20170587;20170756;20170794;20170899;20171179;20180170;20180263;20180608;20180654;20180759;20181046;20190325;20190397;20190639;20190691;20190870;20191014;20191104;20191155;20201245;20202023;20203373;20203389;20203947;20204655;20205386;20206498;20207822,
incipient_smooth_window,default,incipient_smooth_window,22,True,0,0,0,0,,POR_DESENHO
incipient_smooth_window,plateau_single_derivative,incipient_smooth_window,22,True,0,0,0,0,,POR_DESENHO
incipient_smooth_window,plateau_single_vorticity,incipient_smooth_window,22,False,22,240,0,0,20150377;20150436;20150561;20150646;20150656;20160587;20170154;20170409;20170756;20171179;20180170;20180608;20180759;20190325;20190397;20190870;20191014;20191155;20203373;20204655;20205386;20206498,
incipient_smooth_polyorder,default,incipient_smooth_polyorder,7,True,0,0,0,0,,POR_DESENHO
incipient_smooth_polyorder,plateau_single_derivative,incipient_smooth_polyorder,7,True,0,0,0,0,,POR_DESENHO
incipient_smooth_polyorder,plateau_single_vorticity,incipient_smooth_polyorder,7,True,0,0,0,0,,POR_DESENHO
extrema_prominence_relative,extrema_prominence_on,prominence_relative,51,False,4,145,0,0,20160735;20170794;20180733;20206498,
extrema_distance,extrema_distance_on,distance,29,False,2,21,0,0,20160735;20180263,
decay_tail_amplitude_fraction,decay_tail_on,decay_tail_amplitude_fraction,50,True,0,0,0,0,,POR_DESENHO
