,start,end
incipient,1992-06-06 18:00:00,1992-06-07 14:00:00
intensification,1992-06-07 15:00:00,1992-06-09 08:00:00
mature,1992-06-09 09:00:00,1992-06-09 20:00:00
decay,1992-06-09 21:00:00,1992-06-11 21:00:00
intensification 2,1992-06-11 22:00:00,1992-06-13 14:00:00
mature 2,1992-06-13 15:00:00,1992-06-14 02:00:00
decay 2,1992-06-14 03:00:00,1992-06-15 13:00:00
residual,1992-06-15 14:00:00,1992-06-16 01:00:00
